type,client,tx,amount
withdrawal,21607,887,6481.440114
dispute,62933,794,
dispute,65534,882,
chargeback,58245,218,
deposit,16062,888,9310.62596061
dispute,39766,372,
withdrawal,13924,889,2286.1759
resolve,24762,36,
chargeback,2874,516,
dispute,52935,380,
chargeback,42528,765,
withdrawal,13936,890,5721.68913346
resolve,37288,773,
resolve,47379,506,
deposit
chargeback,14613,382,
dispute,29001,766,
resolve,14024,58,
resolve,56361,272,
dispute,41065,243,
chargeback,24574,251,
deposit,41380,891,4370.53098651
chargeback,20040,190,
chargeback,28276,589,
deposit,37851,892,7878.04
withdrawal,27615,893,7415.005262
chargeback,38729,102,
resolve,29496,489,
chargeback,51527,805,
resolve,38115,228,
withdrawal,22567,894,2470.85135
chargeback,8243,411,
deposit,38296,895,77.21962785
chargeback,32367,857,
dispute,5108,363,
chargeback,8690,100,
resolve,49838,249,
dispute,39198,588,
resolve,60762,618,
withdrawal,38011,896,6516.82975
chargeback,58872,151,
deposit,20213,897,6742.52647
resolve,13395,259,
dispute,8690,100,
deposit,8776,898,1306.01360073
chargeback,32363,277,
withdrawal,22001,899,6373.1560
withdrawal,4919,900,5496.405776
randomtype,1,2,5.0
chargeback,25027,613,
chargeback,23009,727,
chargeback,16062,888,
resolve,20064,535,
dispute,58245,218,
dispute,27296,520,
chargeback,40314,430,
deposit,58236,901,5072.60043
chargeback,58994,117,
withdrawal,53667,902,7283.999
resolve,23997,81,
chargeback,2093,515,
dispute,41573,459,
resolve,39677,783,
resolve,4514,138,
deposit,1,2,10.0,extra
withdrawal,5291,903,7093.4114
dispute,21307,122,
resolve,41185,592,
dispute,38019,127,
resolve,4546,64,
resolve,34669,464,
deposit,24901,904,2814.5896
deposit,19414,905,6797.49421
resolve,30352,327,
deposit,19804,906,8678.92770279
resolve,43251,719,
resolve,3220,69,
withdrawal,51746,907,9471.65
withdrawal,36579,908,1164.579
deposit,49761,909,5084.54
deposit,47123,910,4101.34031
withdrawal,4499,911,1033.797882
dispute,31774,196,
chargeback,47785,170,
dispute,14673,785,
deposit,4602,912,9251.399
chargeback,59927,495,
dispute,32374,252,
resolve,31332,738,
dispute,13849,204,
deposit,50602,913,2523.34157
chargeback,41079,806,
chargeback,13738,793,
deposit,48300,914,4842.072
deposit
withdrawal,16874,915,983.255695
resolve,38061,301,
withdrawal,6956,916,7281.92
chargeback,43301,392,
deposit,10912,917,2501.668
resolve,7507,198,
resolve,42096,232,
withdrawal,61561,918,5939.56151
dispute,60326,866,
chargeback,23645,329,
chargeback,55843,129,
withdrawal,44237,919,4260.580329
deposit,36956,920,4172.40
withdrawal,56120,921,3475.6921
resolve,18535,318,
deposit,62143,922,370.12
withdrawal,53932,923,7755.9792732
resolve,50394,602,
deposit,1672,924,452.91338
chargeback,26114,309,
withdrawal,11822,925,3523.83133
withdrawal,54747,926,823.688697
deposit,9676,927,2756.47050700
deposit,7589,928,3561.18085199
dispute,61021,428,
chargeback,58994,117,
withdrawal,24448,929,3672.834105
withdrawal,3580,930,3336.1967368
dispute,22274,689,
resolve,33067,84,
chargeback,33571,573,
resolve,64946,144,
chargeback,32363,277,
withdrawal,35363,931,8925.75934831
chargeback,26307,680,
chargeback,55794,581,
withdrawal,46104,932,1954.093871
deposit,62795,933,6394.18
withdrawal,22831,934,1749.66868148
resolve,7846,63,
withdrawal,55602,935,9309.78
deposit,44632,936,8327.1701
deposit,23343,937,5531.9471860
withdrawal,34051,938,7136.94874
chargeback,55843,129,
dispute,1,2,10.0
deposit,14644,939,5136.26
withdrawal,20663,940,1197.08407
withdrawal,31592,941,5519.91365659
withdrawal,21703,942,3306.6309406
chargeback,64388,837,
chargeback,14107,180,
dispute,49934,863,
resolve,55237,841,
deposit,40470,943,442.40
resolve,19525,620,
dispute,45753,865,
deposit,44745,944,995.96798
chargeback,10704,816,
deposit,8378,945,3571.18636
withdrawal,60077,946,3376.323483
resolve,4938,247,
dispute,7604,458,
withdrawal,61810,947,3411.76
deposit
withdrawal,51705,948,369.46151
dispute,37653,446,
withdrawal,63912,949,5423.5273067
resolve,15099,505,
deposit,13606,950,7565.7097591
resolve,41625,283,
resolve,54300,609,
deposit,1,2,10.0,extra
withdrawal,34325,951,6716.41
dispute,36821,59,
chargeback,32661,485,
withdrawal,7680,952,4684.6470
dispute,20040,190,
resolve,9419,7,
withdrawal,35574,953,5650.2763
resolve,46104,932,
chargeback,41185,592,
resolve,50295,115,
deposit,2578,954,7868.81780
deposit,25963,955,2607.89318
dispute,26271,414,
chargeback,1672,924,
withdrawal,13761,956,5812.400
dispute,54444,16,
deposit,55531,957,5027.2699
deposit,24470,958,9088.26
withdrawal,8840,959,779.94025
chargeback,56934,624,
dispute,48845,214,
deposit,10700,960,9463.357
resolve,52935,380,
deposit,17630,961,5382.1776
chargeback,58980,514,
chargeback,48845,214,
resolve,60404,234,
chargeback,54350,852,
resolve,58994,117,
withdrawal,20444,962,1684.0767
resolve,53785,123,
chargeback,28693,222,
dispute,65069,867,
resolve,3655,393,
deposit,53440,963,710.252
chargeback,29186,612,
withdrawal,28466,964,1012.17562740
withdrawal,16541,965,816.37
resolve,16887,183,
dispute,8420,158,
deposit,4292,966,4658.0144
deposit,29471,967,6553.08
resolve,42026,338,
resolve,27927,525,
deposit,20411,968,6455.1160
resolve,62808,375,
chargeback,28683,868,
chargeback,3524,83,
dispute,8085,379,
dispute,39243,225,
withdrawal,abc,123,10.5
deposit,1,2,-50.0
dispute,12448,778,
withdrawal,45825,969,4005.46004
dispute,1,2,10.0
deposit,26176,970,661.9152652
chargeback,16062,888,
withdrawal,23514,971,4967.891037
deposit,19531,972,5732.43422
withdrawal,52123,973,5958.64801
dispute,21983,870,
resolve,30673,522,
dispute,12321,849,
withdrawal,62656,974,4534.115598
dispute,20411,968,
withdrawal,19675,975,4220.0638
deposit,11369,976,1098.00742109
withdrawal,11534,977,8908.25
dispute,29597,566,
deposit,48624,978,9340.35
chargeback,43694,320,
withdrawal,49318,979,5710.51
resolve,41861,636,
deposit,17019,980,6995.4152594
withdrawal,49084,981,1036.630
withdrawal,32813,982,611.84
resolve,8380,627,
resolve,47399,111,
dispute,49707,238,
withdrawal,1820,983,8688.6146878
chargeback,5928,253,
dispute,22093,303,
dispute,49707,238,
chargeback,62584,562,
withdrawal,23082,984,3303.5851942
withdrawal,32144,985,9486.13947
resolve,981,378,
dispute,4602,912,
dispute,53667,902,
chargeback,52907,685,
withdrawal,4964,986,8762.3907
chargeback,19511,155,
withdrawal,9609,987,1081.0811428
deposit,57651,988,2732.50
deposit,34143,989,7882.72463
withdrawal,35658,990,9293.34
chargeback,50578,654,
dispute,12340,665,
deposit,2194,991,3867.957958
chargeback,40883,389,
chargeback,49457,706,
dispute,17019,980,
dispute,24708,524,
withdrawal,35461,992,4337.881
chargeback,23243,574,
dispute,10082,402,
resolve,59566,107,
dispute,9958,343,
chargeback,34961,567,
chargeback,32367,857,
chargeback,30046,598,
dispute,46759,653,
deposit,23589,993,9376.72
resolve,3220,69,
chargeback,62659,465,
withdrawal,65283,994,1490.341
resolve,59782,209,
chargeback,58272,118,
resolve,730,718,
resolve,41625,283,
withdrawal,11926,995,7083.33899768
deposit,61651,996,8305.6422891
deposit,16455,997,9843.091
deposit,16787,998,7823.030378
withdrawal,53819,999,2490.156
withdrawal,18069,1000,929.65
dispute,8975,694,
chargeback,39274,388,
deposit,15591,1001,8124.599237
withdrawal,35317,1002,4583.9044637
dispute,46454,376,
dispute,46712,346,
dispute,64091,12,
chargeback,38836,223,
dispute,29286,529,
resolve,35461,992,
deposit,39093,1003,2489.4263
dispute,37241,596,
chargeback,24750,417,
resolve,49400,579,
deposit,13835,1004,5436.7733216
withdrawal,41227,1005,571.55465
deposit,11677,1006,7888.56794
dispute,21201,134,
dispute,44169,150,
dispute,54747,926,
withdrawal,57930,1007,1563.9360273
deposit,27586,1008,5716.595859
dispute,24708,524,
dispute,28260,54,
withdrawal,52935,1009,9334.4388
resolve,8975,694,
deposit,55829,1010,4042.5933
dispute,65283,994,
dispute,54952,332,
resolve,52484,245,
deposit,13964,1011,2785.127
resolve,23550,559,
deposit,45274,1012,4406.48231353
withdrawal,25726,1013,9531.300621
deposit,43592,1014,3724.90662
deposit,12068,1015,4353.31422820
withdrawal,29178,1016,5403.2075
resolve,39287,767,
withdrawal,2609,1017,7361.7074
withdrawal,54860,1018,8914.36329529
dispute,10838,60,
withdrawal,61064,1019,2067.243711
deposit,31093,1020,7334.62
resolve,56361,272,
deposit,64945,1021,3329.98672480
deposit,29642,1022,3262.96318387
withdrawal,39538,1023,3161.33649
dispute,59927,495,
withdrawal,19490,1024,5491.4117554
withdrawal,5927,1025,2367.26209
deposit,56897,1026,9362.61840762
chargeback,34961,567,
deposit,1972,1027,7192.16981
deposit,19628,1028,4236.29
resolve,15411,419,
chargeback,41380,891,
resolve,31230,487,
deposit,19813,1029,7442.95377801
withdrawal,24697,1030,626.00785698
resolve,64951,357,
withdrawal,63587,1031,5872.3713
chargeback,55283,355,
dispute,50901,795,
dispute,27927,525,
deposit,21814,1032,1615.56
chargeback,50394,602,
resolve,50578,654,
chargeback,25939,413,
chargeback,47379,506,
chargeback,26060,781,
deposit,52404,1033,7216.7367
resolve,5214,80,
withdrawal,23329,1034,7022.15347191
chargeback,2298,408,
chargeback,6178,686,
chargeback,28276,589,
resolve,47350,381,
dispute,26497,120,
chargeback,32744,285,
withdrawal,11803,1035,763.2309688
resolve,52907,685,
resolve,35974,460,
deposit,31723,1036,3831.55
chargeback,59145,339,
withdrawal,48497,1037,2094.14
withdrawal,58173,1038,740.941
chargeback,13543,82,
deposit,55726,1039,2592.2037
resolve,49582,28,
chargeback,11961,486,
deposit,43194,1040,1483.76623098
withdrawal,32868,1041,7495.41519
deposit,1,2,10.0,extra
withdrawal,9000,1042,6670.997365
dispute,28182,178,
resolve,18950,369,
deposit,11329,1043,6499.100067
deposit,18604,1044,5645.0027137
withdrawal,13525,1045,7582.68165845
resolve,34669,464,
dispute,8044,551,
chargeback,7589,928,
resolve,53265,784,
deposit,48510,1046,7107.652198
deposit,26013,1047,6859.46452
dispute,25919,2,
chargeback,2130,290,
resolve,44518,480,
deposit,11808,1048,1101.9683
withdrawal,24074,1049,2082.7884
chargeback,7299,824,
deposit
chargeback,61369,760,
resolve,37288,773,
dispute,59927,495,
chargeback,64642,3,
resolve,28652,140,
withdrawal,11513,1050,1537.278806
deposit,51583,1051,9608.85
withdrawal,42405,1052,7133.72
withdrawal,40181,1053,6929.2218796
dispute,60232,149,
withdrawal,21658,1054,6988.08167016
chargeback,34258,395,
dispute,50778,666,
withdrawal,45917,1055,7446.948
resolve,18060,305,
resolve,59824,804,
deposit,23074,1056,8685.2805
withdrawal,32424,1057,8092.1138
chargeback,8840,959,
withdrawal,29544,1058,4524.207671
dispute,2854,876,
dispute,4812,469,
chargeback,29157,724,
dispute,18597,299,
chargeback,54387,307,
resolve,18413,782,
deposit,39765,1059,6227.3464
chargeback,8840,959,
chargeback,10082,402,
chargeback,33137,406,
resolve,49998,830,
withdrawal,34529,1060,4775.3871456
dispute,51832,877,
chargeback,5208,878,
chargeback,34669,464,
deposit,60076,1061,9264.294
chargeback,4375,351,
withdrawal,60742,1062,1149.35267389
chargeback,29317,749,
chargeback,39529,211,
deposit,23277,1063,6412.38
chargeback,45395,576,
dispute,18523,716,
withdrawal,16317,1064,2376.631891
resolve,40928,56,
chargeback,51604,74,
chargeback,28652,140,
chargeback,14024,58,
chargeback,26739,237,
chargeback,64666,289,
dispute,1,2,10.0
withdrawal,14831,1065,6240.902
dispute,48624,978,
chargeback,55237,841,
resolve,38312,734,
deposit,1,2,10.0,extra
resolve,33085,483,
withdrawal,47801,1066,4897.192771
dispute,38115,228,
dispute,22084,696,
withdrawal,34945,1067,6457.34852
chargeback,35317,1002,
resolve,25002,543,
dispute,39538,1023,
chargeback,23749,779,
withdrawal,29946,1068,2740.5244415
withdrawal,32152,1069,5236.4550
resolve,1672,924,
chargeback,60081,698,
deposit,44799,1070,821.468573
resolve,12588,293,
resolve,63174,558,
dispute,33893,825,
withdrawal,55942,1071,901.8526
chargeback,42176,142,
dispute,13761,956,
chargeback,55066,390,
chargeback,43562,157,
withdrawal,30044,1072,8545.309744
withdrawal,54359,1073,1910.7766
deposit,7779,1074,7351.877
deposit,62220,1075,6003.132643
deposit,36322,1076,3422.039
chargeback,47533,635,
dispute,26092,815,
chargeback,35789,660,
withdrawal,18639,1077,886.55
dispute,54529,258,
withdrawal,30657,1078,4262.231
deposit,34526,1079,1937.7964836
withdrawal,13436,1080,3317.55780864
deposit,55373,1081,6790.75
resolve,21201,481,
deposit,12053,1082,4194.43395
chargeback,10287,105,
resolve,25885,261,
dispute,62584,562,
withdrawal,37535,1083,9497.194388
withdrawal,63000,1084,6482.4322
dispute,64918,786,
chargeback,39222,834,
dispute,37340,5,
withdrawal,53458,1085,6570.58405
chargeback,35284,842,
chargeback,52873,555,
dispute,29591,257,
resolve,13543,82,
resolve,3352,601,
deposit
dispute,36496,15,
deposit,43680,1086,3931.09
chargeback,25919,2,
dispute,8378,945,
dispute,64837,208,
withdrawal,180,1087,9903.31028
withdrawal,5022,1088,4615.7844
resolve,11329,1043,
deposit,21610,1089,7597.72476290
resolve,13606,950,
withdrawal,15425,1090,5793.96678370
resolve,34529,1060,
resolve,31102,386,
deposit,3973,1091,9253.50443
chargeback,31743,678,
chargeback,13543,82,
dispute,46844,590,
dispute,10833,682,
resolve,60742,1062,
deposit,1880,1092,5841.92298102
dispute,18956,292,
deposit,47243,1093,496.783
resolve,52935,380,
dispute,53599,171,
deposit,1,2,10.0,extra
dispute,61810,947,
deposit,14483,1094,9146.092
chargeback,22831,934,
resolve,51604,74,
deposit,60753,1095,1310.436395
deposit,54538,1096,178.823478
dispute,39198,588,
dispute,1,2,10.0
resolve,43605,280,
deposit,12521,1097,2040.705
withdrawal,26507,1098,2984.8965
deposit,21769,1099,3541.81604707
deposit,65370,1100,9316.3273998
resolve,19414,905,
chargeback,19813,1029,
withdrawal,10401,1101,7713.7617603
withdrawal,19707,1102,7385.278
resolve,50602,913,
resolve,63774,730,
dispute,10401,1101,
chargeback,39798,843,
chargeback,35363,931,
chargeback,21769,1099,
chargeback,11926,995,
chargeback,7507,198,
resolve,20005,756,
deposit,52756,1103,4482.47755
dispute,15997,366,
resolve,55602,935,
deposit,19596,1104,1817.198731
resolve,50721,494,
deposit,30599,1105,1551.63
dispute,16887,183,
chargeback,46454,376,
resolve,30368,720,
resolve,15088,556,
chargeback,3580,930,
resolve,32679,137,
dispute,18597,299,
dispute,30649,634,
dispute,11858,748,
withdrawal,26912,1106,5601.270468
resolve,5509,831,
resolve,29178,1016,
withdrawal,36759,1107,1982.286
deposit,37218,1108,6833.64163
dispute,52985,569,
chargeback,41625,283,
withdrawal,7365,1109,5225.94011
chargeback,7589,928,
resolve,46712,346,
withdrawal,37567,1110,4501.3778623
deposit
resolve,65015,723,
dispute,28549,702,
deposit,34197,1111,5898.0481798
resolve,38061,301,
chargeback,28652,140,
withdrawal,64731,1112,2161.46630
chargeback,61751,132,
deposit,40158,1113,5909.0900791
resolve,13202,139,
deposit
withdrawal,19196,1114,2146.6406
withdrawal,22663,1115,8810.37968743
deposit,51784,1116,303.46680033
withdrawal,11112,1117,5809.655111
resolve,38061,301,
chargeback,2298,408,
chargeback,15425,1090,
dispute,52051,631,
dispute,60762,618,
deposit,22242,1118,8721.34318184
dispute,6018,268,
resolve,31326,768,
resolve,11369,976,
dispute,63448,587,
resolve,2915,195,
withdrawal,23235,1119,506.268
withdrawal,43585,1120,2844.70425
resolve,10437,585,
deposit,24294,1121,431.0007
resolve,30649,634,
deposit
withdrawal,10971,1122,5523.722
deposit,40817,1123,4770.02062896
resolve,5074,832,
withdrawal,11164,1124,3095.6512853
withdrawal,62881,1125,148.233
resolve,32959,752,
deposit,53706,1126,4440.4740917
withdrawal,18915,1127,5983.724951
deposit,22360,1128,6200.69817
deposit,59977,1129,644.09
withdrawal,34395,1130,2451.923678
withdrawal,16111,1131,8813.7441908
withdrawal,64740,1132,8941.020
deposit,27875,1133,2584.78751
resolve,32912,360,
deposit,41273,1134,7844.69519
withdrawal,61481,1135,2736.8589
resolve,17411,503,
dispute,10838,60,
deposit,30253,1136,5684.165
chargeback,13761,956,
deposit,44826,1137,5853.268
withdrawal,3072,1138,6522.979
chargeback,15591,1001,
deposit,35264,1139,6600.49507371
chargeback,38838,86,
withdrawal,18907,1140,9800.3812
dispute,29388,440,
resolve,61233,517,
chargeback,8378,945,
withdrawal,41526,1141,5887.43012447
chargeback,24006,633,
deposit,64899,1142,9144.9524937
resolve,36788,470,
chargeback,10409,650,
withdrawal,31614,1143,3051.333
withdrawal,23548,1144,3777.7204183
resolve,41380,891,
dispute,38410,130,
chargeback,34176,616,
deposit,55152,1145,2812.14703
deposit
withdrawal,21721,1146,8459.004216
dispute,2854,876,
deposit,19597,1147,9065.8506021
randomtype,1,2,5.0
resolve,19099,848,
dispute,9450,448,
withdrawal,31154,1148,9372.74652360
chargeback,18907,1140,
resolve,23645,329,
withdrawal,35701,1149,831.73665935
resolve,42406,597,
deposit,43065,1150,5912.2592304
chargeback,52935,380,
resolve,52935,380,
deposit,51263,1151,6563.384
dispute,60086,688,
resolve,34705,44,
withdrawal,51390,1152,2643.482814
chargeback,23592,143,
deposit,12309,1153,7110.16
dispute,22001,899,
resolve,6304,438,
resolve,33042,527,
dispute,38258,490,
dispute,61175,434,
resolve,3782,742,
chargeback,52985,569,
resolve,1972,1027,
dispute,61021,428,
dispute,35522,1,
resolve,54529,258,
deposit,39099,1154,7618.8056957
chargeback,54747,926,
deposit,13066,1155,1095.12212
dispute,12521,1097,
chargeback,38306,348,
resolve,19830,403,
resolve,49221,683,
withdrawal,37981,1156,1514.9966
dispute,1,2,10.0
deposit,46271,1157,5023.655
dispute,41273,1134,
withdrawal,15183,1158,4808.69301425
chargeback,2854,876,
randomtype,1,2,5.0
chargeback,29544,1058,
chargeback,19560,780,
deposit,50452,1159,9932.882
withdrawal,9444,1160,2933.3653452
deposit,32585,1161,6167.51082141
withdrawal,20603,1162,120.939329
deposit,19868,1163,7061.74
deposit,30683,1164,1226.85788
deposit,1,2,-50.0
deposit,64430,1165,378.904
deposit,22209,1166,9039.142683
withdrawal,26442,1167,500.0073
chargeback,42406,597,
dispute,15411,419,
withdrawal,42149,1168,8345.925536
deposit,25433,1169,7026.61899
withdrawal,4201,1170,5974.31848690
withdrawal,47571,1171,2641.242074
dispute,8746,536,
deposit,9295,1172,2134.33
withdrawal,61559,1173,3050.70988
deposit,59377,1174,8342.124750
deposit,46651,1175,7477.3565946
dispute,41410,546,
deposit,51567,1176,4683.88762574
chargeback,20565,883,
resolve,5509,831,
chargeback,46104,932,
withdrawal,16940,1177,287.190943
chargeback,30683,1164,
deposit,39045,1178,3630.5563505
chargeback,2419,488,
deposit,38294,1179,225.69624434
deposit,24155,1180,8488.82
dispute,35574,953,
resolve,28549,702,
resolve,5237,40,
deposit,2587,1181,1379.83934
deposit,49401,1182,1063.11
resolve,40108,762,
deposit,1617,1183,2600.6674
withdrawal,21021,1184,9796.93620149
dispute,24726,73,
chargeback,44887,368,
resolve,54747,926,
resolve,31057,304,
chargeback,13849,204,
dispute,24894,751,
withdrawal,35458,1185,5346.0656726
dispute,29127,385,
resolve,35974,460,
chargeback,28202,648,
deposit,52086,1186,2183.61214764
resolve,49527,450,
withdrawal,1277,1187,5433.13
withdrawal,11295,1188,8790.57
withdrawal,37700,1189,6635.1151548
withdrawal,48871,1190,2226.7585
chargeback,45840,518,
withdrawal,22332,1191,4989.5319
withdrawal,25686,1192,1713.52
deposit,1773,1193,9391.681
deposit,1,2,10.0,extra
deposit,29194,1194,6686.96
chargeback,20518,798,
resolve,30140,764,
dispute,22209,1166,
chargeback,30599,1105,
resolve,19109,835,
chargeback,28578,445,
deposit,28220,1195,558.828
chargeback,51286,774,
resolve,30368,720,
resolve,16787,998,
dispute,9295,1172,
chargeback,62811,886,
deposit,26897,1196,3370.83593744
withdrawal,17904,1197,346.140349
resolve,49582,28,
chargeback,51784,1116,
chargeback,60662,479,
chargeback,60174,62,
resolve,60404,234,
dispute,4602,912,
withdrawal,64891,1198,4892.19
deposit,65249,1199,2982.132
deposit,17554,1200,9886.586
dispute,2587,1181,
deposit,6961,1201,503.0409
resolve,14644,939,
withdrawal,57945,1202,6440.57777
chargeback,35264,1139,
chargeback,32540,398,
deposit,52850,1203,5641.16400759
dispute,59006,68,
dispute,24222,97,
withdrawal,14801,1204,7772.24232
resolve,31230,487,
chargeback,31244,295,
resolve,2897,167,
withdrawal,22246,1205,3678.0559
chargeback,2578,954,
deposit,25330,1206,9384.3709
deposit,27333,1207,3235.8794265
dispute,51705,948,
resolve,39045,1178,
chargeback,21900,622,
resolve,9000,1042,
dispute,62795,933,
resolve,36654,839,
deposit,61135,1208,4589.170376
chargeback,16874,915,
dispute,63233,173,
dispute,43065,1150,
deposit,19835,1209,2134.0823221
withdrawal,31987,1210,237.904340
chargeback,28320,858,
deposit,54153,1211,7810.0451
resolve,47191,881,
withdrawal,51867,1212,9387.793816
dispute,21307,122,
chargeback,24251,737,
deposit,63961,1213,2051.814
deposit,28487,1214,2982.15
withdrawal,28956,1215,228.987
deposit,41777,1216,6142.9938199
dispute,31102,386,
withdrawal,40176,1217,34.6295
withdrawal,46676,1218,931.96272
dispute,18535,318,
resolve,63289,75,
resolve,32540,398,
dispute,2419,488,
resolve,26956,860,
chargeback,32959,752,
dispute,53458,1085,
chargeback,39222,834,
resolve,33034,600,
withdrawal,9670,1219,5506.99790
chargeback,35909,599,
randomtype,1,2,5.0
chargeback,63233,173,
withdrawal,23453,1220,98.68
withdrawal,33735,1221,9456.894
chargeback,25919,2,
resolve,3853,578,
deposit,46131,1222,6460.9048602
deposit,13772,1223,6172.960
withdrawal,26953,1224,2760.52612
resolve,30201,104,
chargeback,52985,569,
chargeback,62656,974,
resolve,60528,27,
dispute,32912,360,
chargeback,56076,110,
randomtype,1,2,5.0
dispute,37861,246,
resolve,61651,996,
resolve,21703,942,
deposit,52383,1225,5546.2568541
resolve,58709,313,
deposit,53595,1226,5573.481
chargeback,11740,31,
deposit,28659,1227,7930.0738
withdrawal,61417,1228,2460.6582
chargeback,10971,1122,
deposit,43138,1229,5511.44968
withdrawal,22630,1230,343.14361
resolve,63280,676,
deposit,29048,1231,2997.26807
dispute,34344,721,
deposit,14273,1232,6189.6901
dispute,1810,664,
resolve,54154,539,
deposit,6574,1233,1664.69
chargeback,31987,1210,
deposit,59557,1234,2800.103
deposit,58026,1235,859.0666704
withdrawal,59637,1236,9901.667
chargeback,57930,1007,
chargeback,58026,1235,
deposit
chargeback,45753,865,
resolve,28602,501,
resolve,40542,733,
resolve,19490,1024,
resolve,12728,85,
deposit,24758,1237,1773.66049061
chargeback,48510,1046,
chargeback,64642,3,
chargeback,43155,340,
resolve,23997,81,
withdrawal,34199,1238,4812.04088
withdrawal,38509,1239,5284.674465
chargeback,50578,654,
dispute,13935,547,
deposit,47679,1240,2311.5703764
dispute,19897,509,
dispute,36316,703,
chargeback,64441,412,
dispute,25939,413,
withdrawal,20267,1241,5216.755
resolve,2434,341,
deposit,46482,1242,5268.66
dispute,27113,156,
deposit,33160,1243,3562.8890148
chargeback,2578,954,
resolve,49376,344,
dispute,32437,88,
dispute,61135,1208,
deposit,30328,1244,7706.5428
deposit,44567,1245,5454.89712
dispute,5237,40,
chargeback,22661,239,
deposit,17594,1246,7550.85217
deposit,1355,1247,8192.465
dispute,39099,1154,
withdrawal,4418,1248,2216.08
deposit,28558,1249,7335.679
chargeback,61283,420,
resolve,12448,778,
dispute,38294,1179,
deposit,41996,1250,1381.81
resolve,43023,777,
resolve,39708,498,
dispute,52512,77,
deposit,58224,1251,6087.066
dispute,26897,1196,
chargeback,45204,221,
deposit,15678,1252,1061.2278
resolve,34159,691,
deposit,1,2,10.0,extra
dispute,61831,244,
resolve,17727,617,
resolve,24290,735,
chargeback,40181,1053,
chargeback,30140,764,
deposit,2948,1253,807.7526
chargeback,11425,645,
withdrawal,8467,1254,7578.3134
dispute,44632,936,
chargeback,24708,524,
withdrawal,18117,1255,6609.32
resolve,18929,471,
dispute,1672,924,
deposit,938,1256,5530.0895
resolve,39099,1154,
dispute,31521,181,
deposit,10608,1257,5955.43783677
resolve,56174,308,
withdrawal,40967,1258,362.393
deposit,58893,1259,5940.61005857
chargeback,50949,53,
withdrawal,16335,1260,3741.75029414
chargeback,35795,823,
dispute,37700,1189,
deposit,41858,1261,6052.54
resolve,65249,1199,
withdrawal,38561,1262,2290.0508074
resolve,13860,575,
dispute,35658,990,
chargeback,18956,292,
withdrawal,51171,1263,7577.06878
resolve,51286,774,
dispute,52512,77,
chargeback,58982,885,
dispute,41922,740,
chargeback,34344,721,
chargeback,55066,390,
deposit,32612,1264,6694.8126809
dispute,61369,760,
deposit,1609,1265,8469.77
deposit,46832,1266,8543.413
withdrawal,48844,1267,1624.95
dispute,45840,518,
deposit,49963,1268,5227.58947
dispute,34526,1079,
deposit,14604,1269,9290.78680
resolve,16106,492,
chargeback,58245,218,
deposit,21452,1270,5348.61702096
withdrawal,9679,1271,9711.349
resolve,42528,765,
resolve,46844,590,
dispute,40660,802,
withdrawal,36140,1272,7898.66
dispute,26739,237,
withdrawal,33844,1273,4713.699
dispute,19414,905,
chargeback,26956,860,
withdrawal,43187,1274,7317.38
chargeback,10287,105,
chargeback,33526,387,
resolve,46832,1266,
chargeback,54154,539,
dispute,40747,401,
resolve,17411,503,
resolve,22001,899,
withdrawal,17965,1275,2434.1324368
resolve,29642,1022,
deposit,61174,1276,8354.6576250
chargeback,62808,375,
deposit,13483,1277,7051.073
withdrawal,21204,1278,1584.976
chargeback,32592,32,
withdrawal,38130,1279,1097.930
dispute,538,811,
resolve,3497,662,
dispute,62844,605,
deposit,17365,1280,1629.3755378
resolve,38091,89,
dispute,58994,117,
chargeback,46104,932,
deposit,16508,1281,8798.4514
deposit,60685,1282,6788.262
chargeback,63587,1031,
withdrawal,47176,1283,2994.31934113
chargeback,51263,1151,
deposit,15296,1284,6643.496097
dispute,48167,586,
chargeback,13924,889,
chargeback,22661,239,
withdrawal,12902,1285,7220.69513235
resolve,51583,1051,
dispute,42325,606,
withdrawal,47669,1286,8233.87648
deposit,32866,1287,7333.4590
deposit,31919,1288,5301.0635
dispute,3973,1091,
dispute,3630,113,
chargeback,29127,385,
chargeback,1882,91,
dispute,24433,610,
withdrawal,778,1289,5363.23473
deposit,12878,1290,9204.7005457
deposit,22041,1291,8233.71
dispute,1,2,10.0
withdrawal,43912,1292,4777.865
resolve,59566,107,
chargeback,33440,643,
chargeback,21452,1270,
resolve,38838,86,
deposit,39723,1293,6093.624658
dispute,47399,111,
dispute,8085,379,
deposit,22970,1294,2084.42636
chargeback,8719,545,
chargeback,35777,791,
deposit,235,1295,2275.54868
withdrawal,51818,1296,7348.737089
deposit,55136,1297,5777.49520
chargeback,63000,1084,
chargeback,50452,1159,
withdrawal,48420,1298,8053.1557
chargeback,8177,230,
dispute,54350,852,
dispute,45840,518,
dispute,51567,1176,
chargeback,29889,334,
chargeback,7290,141,
withdrawal,59313,1299,3050.1760818
randomtype,1,2,5.0
withdrawal,abc,123,10.5
resolve,21900,622,
deposit,11006,1300,7598.66
resolve,48844,1267,
deposit,40510,1301,7041.9993964
dispute,24758,1237,
deposit,33056,1302,8755.454061
deposit,30907,1303,2993.991
resolve,43138,1229,
deposit,36390,1304,2491.42
deposit,22566,1305,5610.730146
chargeback,50396,121,
withdrawal,29434,1306,2750.0526810
dispute,33042,527,
chargeback,43694,320,
chargeback,54538,1096,
chargeback,29425,404,
dispute,64666,289,
resolve,15603,817,
